category;description;description_stem
T33;geladura superficial joelho perna;geladur superficial joelh pern
T33;geladura superficial tornozelo;geladur superficial tornozel
T33;geladura superficial outros locais locais especificados;geladur superficial outr loc loc especific
T34;geladura , necrose tecidos , cabeca;geladur , necros tec , cabec
T34;geladura , necrose tecidos , pescoco;geladur , necros tec , pescoc
T34;geladura , necrose tecidos , torax;geladur , necros tec , torax
T34;geladura , necrose tecidos , parede abdominal , parte inferior dorso pelve;geladur , necros tec , pared abdominal , part inferior dors pelv
T34;geladura , necrose tecidos , braco;geladur , necros tec , brac
T34;geladura , necrose tecidos , punho mao;geladur , necros tec , punh ma
T34;geladura , necrose tecidos , quadril coxa;geladur , necros tec , quadril cox
T34;geladura , necrose tecidos , joelho perna;geladur , necros tec , joelh pern
T34;geladura , necrose tecidos , tornozelo;geladur , necros tec , tornozel
T34;geladura , necrose tecidos , localizacao especificada;geladur , necros tec , localiz especific
T35;geladura superficial envolvendo multiplas partes corpo;geladur superficial envolv multipl part corp
T35;geladura , necrose tecidos , multiplas partes corpo;geladur , necros tec , multipl part corp
T35;geladura , grau especificado , cabeca pescoco;geladur , grau especific , cabec pescoc
T35;geladura , grau especificado , torax , abdome , parte inferior dorso pelve;geladur , grau especific , torax , abdom , part inferior dors pelv
T35;geladura , grau especificado , membro superior;geladur , grau especific , membr superior
T35;geladura , grau especificado , membro inferior;geladur , grau especific , membr inferior
T35;geladura , grau especificado , multiplas partes corpo;geladur , grau especific , multipl part corp
T35;geladura , grau especificado , localizacao especificada;geladur , grau especific , localiz especific
T36;intoxicacao penicilinas;intoxic penicilin
T36;intoxicacao cefalosporinas outras betalactaminas;intoxic cefalosporin outr betalactamin
T36;intoxicacao grupo cloranfenicol;intoxic grup cloranfenicol
T36;intoxicacao macrolidios;intoxic macrolidi
T36;intoxicacao tetraciclinas;intoxic tetraciclin
T36;intoxicacao aminoglicosideos;intoxic aminoglicosid
T36;intoxicacao rifamicinas;intoxic rifamicin
T36;intoxicacao antibioticos antifungicos administrados via sistemica;intoxic antibiot antifung administr via sistem
T36;intoxicacao outros antibioticos sistemicos;intoxic outr antibiot sistem
T36;intoxicacao antibioticos sistemicos especificados;intoxic antibiot sistem especific
T37;intoxicacao sulfonamidas;intoxic sulfonam
T37;intoxicacao drogas antimicobacterianas;intoxic drog antimicobacterian
T37;intoxicacao antimalaricos drogas atuam sobre outros protozoarios sangue;intoxic antimalar drog atu sobr outr protozoari sang
T37;intoxicacao outros medicamentos antiprotozoarios;intoxic outr medic antiprotozoari
T37;intoxicacao anti - helminticos;intoxic anti - helmint
T37;intoxicacao drogas antivirais;intoxic drog antivir
T37;intoxicacao outros agentes antiinfecciosos antiparasitarios especificados;intoxic outr agent antiinfecc antiparasitari especific
T37;intoxicacao agentes antiinfecciosos antiparasitarios sistemicos especificados;intoxic agent antiinfecc antiparasitari sistem especific
T38;intoxicacao glicocorticoides analogos sinteticos;intoxic glicocorticoid analog sintet
T38;intoxicacao hormonios tireoidianos derivados;intoxic hormoni tireoidian deriv
T38;intoxicacao medicamentos antitireoidianos;intoxic medic antitireoidian
T38;intoxicacao insulina drogas hipoglicemiantes orais [ antidiabeticos ];intoxic insulin drog hipoglicemi ora [ antidiabet ]
T38;intoxicacao anticoncepcionais orais;intoxic anticoncepcion ora
T38;intoxicacao outros estrogenos progestagenos;intoxic outr estrogen progestagen
T38;intoxicacao antigonadotrofinas , antiestrogenos , antiandrogenos classificados outra parte;intoxic antigonadotrofin , antiestrogen , antiandrogen classific outr part
T38;intoxicacao androgenos anabolizantes congeneres;intoxic androgen anaboliz congen
T38;intoxicacao outros hormonios substitutos sinteticos , especificados;intoxic outr hormoni substitut sintet , especific
T38;intoxicacao outros antagonistas hormonais , especificados;intoxic outr antagon hormon , especific
T39;intoxicacao salicilatos;intoxic salicilat
T39;intoxicacao derivados 4-aminofenol;intoxic deriv 4-aminofenol
T39;intoxicacao derivados pirazolonicos;intoxic deriv pirazolon
T39;intoxicacao outros antiinflamatorios esteroides;intoxic outr antiinflamatori esteroid
T39;intoxicacao anti - reumaticos classificados outra parte;intoxic anti - reumat classific outr part
T39;intoxicacao outros analgesicos opiaceos antipireticos classificados outra parte;intoxic outr analges opiac antipiret classific outr part
T39;intoxicacao analgesico - opiaceo , antipiretico anti - reumatico , especificados;intoxic analges - opiac , antipiret anti - reumat , especific
T40;intoxicacao opio;intoxic opi
T40;intoxicacao heroina;intoxic heroin
T40;intoxicacao outros opiaceos;intoxic outr opiac
T40;intoxicacao metadona;intoxic metadon
T40;intoxicacao outros narcoticos sinteticos;intoxic outr narcot sintet
T40;intoxicacao cocaina;intoxic cocain
T40;intoxicacao outros narcoticos especificados;intoxic outr narcot especific
T40;intoxicacao cannabis ( derivados );intoxic cannab ( deriv )
T40;intoxicacao lisergida [ lsd ];intoxic liserg [ lsd ]
T40;intoxicacao outros psicodislepticos especificados [ alucinogenos ];intoxic outr psicodislept especific [ alucinogen ]
T41;intoxicacao anestesicos inalatorios;intoxic anestes inalatori
T41;intoxicacao anestesicos intravenosos;intoxic anestes intraven
T41;intoxicacao outros anestesicos gerais especificados;intoxic outr anestes ger especific
T41;intoxicacao anestesicos locais;intoxic anestes loc
T41;intoxicacao anestesico especificado;intoxic anestes especific
T41;intoxicacao gases terapeuticos;intoxic gas terapeut
T42;intoxicacao derivados hidantoina;intoxic deriv hidantoin
T42;intoxicacao iminostilbenos;intoxic iminostilben
T42;intoxicacao succinimidas oxazolidinadionas;intoxic succinim oxazolidinadion
T42;intoxicacao barbituricos;intoxic barbitur
T42;intoxicacao benzodiazepinas;intoxic benzodiazepin
T42;intoxicacao antiepileticos associacao , classificados outra parte;intoxic antiepilet assoc , classific outr part
T42;intoxicacao outras drogas antiepilepticas sedativos - hipnoticos;intoxic outr drog antiepilept sedat - hipnot
T42;intoxicacao drogas antiepilepticos , sedativos - hipnoticos , especificados;intoxic drog antiepilept , sedat - hipnot , especific
T42;intoxicacao drogas antiparkinsonianos outros depressores centrais tonus muscular;intoxic drog antiparkinsonian outr depressor centr tonus muscul
T43;intoxicacao antidepressivos triciclicos tetraciclicos;intoxic antidepress tricicl tetracicl
T43;intoxicacao antidepressivos inibidores monoaminooxidase ( mao );intoxic antidepress inibidor monoaminooxidas ( mao )
T43;intoxicacao outros antidepressivos especificados;intoxic outr antidepress especific
T43;intoxicacao antipsicoticos neurolepticos derivados fenotiazina;intoxic antipsicot neurolept deriv fenotiazin
T43;intoxicacao neurolepticos tipo butirofenona tioxanteno;intoxic neurolept tip butirofenon tioxanten
T43;intoxicacao outros antipsicoticos neurolepticos especificados;intoxic outr antipsicot neurolept especific
T43;intoxicacao psicoestimulantes potencialmente podem provocar dependencia;intoxic psicoestimul potencial pod provoc dependent
T43;intoxicacao outras drogas psicotropicas classificadas outra parte;intoxic outr drog psicotrop classific outr part
T43;intoxicacao droga psicotropica especificada;intoxic drog psicotrop especific
T44;intoxicacao agentes anticolinesterase;intoxic agent anticolinesteras
T44;intoxicacao outros agentes parassimpaticomimeticos [ colinergicos ];intoxic outr agent parassimpaticomimet [ colinerg ]
T44;intoxicacao bloqueadores ganglionares classificados outra parte;intoxic bloqueador ganglion classific outr part
T44;intoxicacao outros parassimpaticoliticos [ anticolinergicos antimuscarinicos ] espasmoliticos classificados outra parte;intoxic outr parassimpaticolit [ anticolinerg antimuscarin ] espasmolit classific outr part
T44;intoxicacao agonistas principalmente alfa - adrenorreceptores classificados outra parte;intoxic agon principal alfa - adrenorreceptor classific outr part
T44;intoxicacao agonistas principalmente beta - adrenorreceptores classificados outra parte;intoxic agon principal bet - adrenorreceptor classific outr part
T44;intoxicacao antagonistas alfa - adrenorreceptores classificados outra parte;intoxic antagon alfa - adrenorreceptor classific outr part
T44;intoxicacao antagonistas beta - adrenorreceptores classificados outra parte;intoxic antagon bet - adrenorreceptor classific outr part
T44;intoxicacao bloqueadores neuronais adrenergicos acao central , classificados outra parte;intoxic bloqueador neuron adrenerg aca central , classific outr part
T44;intoxicacao outras drogas afetam principalmente sistema nervoso autonomo especificadas;intoxic outr drog afet principal sistem nervos autonom especific
T45;intoxicacao drogas antialergicas antiemeticas;intoxic drog antialerg antiemet
T45;intoxicacao drogas antineoplasicas imunomupressoras;intoxic drog antineoplas imunomupressor
T45;intoxicacao vitaminas , classificadas outra parte;intoxic vitamin , classific outr part
T45;intoxicacao enzimas , classificadas outra parte;intoxic enzim , classific outr part
T45;intoxicacao ferro compostos;intoxic ferr compost
T45;intoxicacao anticoagulantes;intoxic anticoagul
T45;intoxicacao drogas afetam fibrinolise;intoxic drog afet fibrinolis
T45;intoxicacao antagonistas anticoagulantes , vitamina outros fatores coagulacao;intoxic antagon anticoagul , vitamin outr fator coagul
T45;intoxicacao outras substancias primariamente sistemicas hematologicas;intoxic outr substanc primari sistem hematolog
T45;intoxicacao substancia essencialmente sistemica hematologica especificada;intoxic substanc essencial sistem hematolog especific
T46;intoxicacao glicosideos estimulantes coracao substancias acao semelhante;intoxic glicosid estimul coraca substanc aca semelh
T46;intoxicacao bloqueadores canais calcio;intoxic bloqueador can calci
T46;intoxicacao outras drogas antidisritmicas classificadas outra parte;intoxic outr drog antidisritm classific outr part
T46;intoxicacao vasodilatadores coronarianos , classificados outra parte;intoxic vasodilat coronarian , classific outr part
T46;intoxicacao inibidores enzima conversao angiotensina;intoxic inibidor enzim conversa angiotensin
T46;intoxicacao outras drogas anti - hipertensivas classificadas outra parte;intoxic outr drog anti - hipertens classific outr part
T46;intoxicacao drogas antihiperlipemicas antiarterioscleroticas;intoxic drog antihiperlipem antiarteriosclerot
T46;intoxicacao vasodilatadores perifericos;intoxic vasodilat perifer
T46;intoxicacao drogas antivaricosas , incluindo substancias esclerosantes;intoxic drog antivaric , inclu substanc escleros
T46;intoxicacao outras substancias especificadas agem essencialmente sobre aparelho circulatorio;intoxic outr substanc especific agem essencial sobr aparelh circulatori
T47;intoxicacao antagonistas receptores h2 histamina;intoxic antagon receptor h2 histamin
T47;intoxicacao outros antiacidos drogas inibem secrecao gastrica;intoxic outr antiac drog inib secreca gastric
T47;intoxicacao laxativos estimulantes;intoxic laxat estimul
T47;intoxicacao laxativos salinos osmoticos;intoxic laxat salin osmot
T47;intoxicacao outros laxativos;intoxic outr laxat
T47;intoxicacao digestivos;intoxic digest
T47;intoxicacao drogas antidiarreicas;intoxic drog antidiarr
T47;intoxicacao emeticos;intoxic emet
T47;intoxicacao outras substancias atuam primariamente sobre aparelho gastrintestinal;intoxic outr substanc atu primari sobr aparelh gastrintestinal
T47;intoxicacao substancia especificada atua primariamente sobre aparelho gastrointestinal;intoxic substanc especific atu primari sobr aparelh gastrointestinal
T48;intoxicacao drogas ocitocicas;intoxic drog ocitoc
T48;intoxicacao relaxantes musculares esqueleticos [ bloqueadores neuromusculares ];intoxic relax muscul esquelet [ bloqueador neuromuscul ]
T48;intoxicacao outras substancias especificadas atuam sobre musculos;intoxic outr substanc especific atu sobr muscul
T48;intoxicacao antitussigenos;intoxic antitussigen
T48;intoxicacao expectorantes;intoxic expector
T48;intoxicacao drogas anti - resfriado;intoxic drog anti - resfri
T48;intoxicacao antiasmaticos classificados outra parte;intoxic antiasmat classific outr part
T48;intoxicacao outras substancias especificadas atuam primariamente sobre aparelho respiratorio;intoxic outr substanc especific atu primari sobr aparelh respiratori
T49;intoxicacao antifungicos , antiinfecciosos antiinflamatorios uso topico , classificados outra parte;intoxic antifung , antiinfecc antiinflamatori uso topic , classific outr part
T49;intoxicacao antipruriginosos;intoxic antiprurigin
T49;intoxicacao adstringentes detergentes uso local;intoxic adstringent detergent uso local
T49;intoxicacao emolientes , demulcentes protetores;intoxic emolient , demulcent protetor
T49;intoxicacao ceratoliticos , ceratoplasticos outras drogas preparados tratamento cabelos;intoxic ceratolit , ceratoplast outr drog prepar tratament cabel
T49;intoxicacao drogas preparacoes uso oftalmologico;intoxic drog prepar uso oftalmolog
T49;intoxicacao drogas preparacoes uso otorrinolaringologico;intoxic drog prepar uso otorrinolaringolog
T49;intoxicacao drogas dentarias uso topico;intoxic drog dentar uso topic
T49;intoxicacao outras drogas uso topico;intoxic outr drog uso topic
T49;intoxicacao preparado uso topico , especificado;intoxic prepar uso topic , especific
T50;intoxicacao mineralocorticoides antagonistas;intoxic mineralocorticoid antagon
T50;intoxicacao diureticos alca;intoxic diuret alca
T50;intoxicacao inibidores anidrase carbonica , benzotiazidas outros diureticos;intoxic inibidor anidras carbon , benzotiaz outr diuret
T50;intoxicacao produtos agem sobre equilibrio eletrolitico , calorico hidrico;intoxic produt agem sobr equilibri eletrolit , calor hidric
T50;intoxicacao drogas agem sobre metabolismo acido urico;intoxic drog agem sobr metabol acid uric
T50;intoxicacao inibidores apetite;intoxic inibidor apetit
T50;intoxicacao antidotos quelantes classificados outra parte;intoxic antidot quelant classific outr part
T50;intoxicacao analepticos antagonistas receptores opiaceos;intoxic analept antagon receptor opiac
T50;intoxicacao agentes diagnostico;intoxic agent diagnost
T50;intoxicacao outras drogas , medicamentos substancias biologicas especificadas;intoxic outr drog , medic substanc biolog especific
T51;efeito toxico etanol;efeit toxic etanol
T51;efeito toxico metanol;efeit toxic metanol
T51;efeito toxico 2-propanol;efeit toxic 2-propanol
T51;efeito toxico oleo fusel;efeit toxic ole fusel
T51;efeito toxico outros alcoois;efeit toxic outr alcoo
T51;efeito toxico alcool especificado;efeit toxic alcool especific
T52;efeito toxico derivados petroleo;efeit toxic deriv petrol
T52;efeito toxico benzeno;efeit toxic benzen
T52;efeito toxico homologos benzeno;efeit toxic homolog benzen
T52;efeito toxico glicois;efeit toxic glico
T52;efeito toxico cetonas;efeit toxic ceton
T52;efeito toxico outros solventes organicos;efeit toxic outr solvent organ
T52;efeito toxico solvente organico especificado;efeit toxic solvent organ especific
T53;efeito toxico tetracloreto carbono;efeit toxic tetracloret carbon
T53;efeito toxico cloroformio;efeit toxic cloroformi
T53;efeito toxico tricloroetileno;efeit toxic tricloroetilen
T53;efeito toxico tetracloroetileno;efeit toxic tetracloroetilen
T53;efeito toxico diclorometano;efeit toxic diclorometan
T53;efeito toxico clorofluorcarbono;efeit toxic clorofluorcarbon
T53;efeito toxico outros derivados halogenicos hidrocarbonetos alifaticos;efeit toxic outr deriv halogen hidrocarbonet alifat
T53;efeito toxico derivados halogenicos hidrocarbonetos aromaticos;efeit toxic deriv halogen hidrocarbonet aromat
T53;efeito toxico derivados halogenicos hidrocarbonetos alifaticos aromaticos especificados;efeit toxic deriv halogen hidrocarbonet alifat aromat especific
T54;efeito toxico fenol homologos fenol;efeit toxic fenol homolog fenol
T54;efeito toxico outros compostos corrosivos organicos;efeit toxic outr compost corros organ
T54;efeito toxico acidos corrosivos substancias semelhantes;efeit toxic acid corros substanc semelh
T54;efeito toxico bases ( alcalis ) causticas ( ) substancias semelhantes;efeit toxic bas ( alcal ) caustic ( ) substanc semelh
T54;efeito toxico substancia corrosiva especificada;efeit toxic substanc corros especific
T55;efeito toxico saboes detergentes;efeit toxic sabo detergent
T56;efeito toxico chumbo compostos;efeit toxic chumb compost
T56;efeito toxico mercurio compostos;efeit toxic mercuri compost
T56;efeito toxico cromo compostos;efeit toxic crom compost
T56;efeito toxico cadmio compostos;efeit toxic cadmi compost
T56;efeito toxico cobre compostos;efeit toxic cobr compost
T56;efeito toxico zinco compostos;efeit toxic zinc compost
T56;efeito toxico estanho compostos;efeit toxic estanh compost
T56;efeito toxico berilo compostos;efeit toxic beril compost
T56;efeito toxico outros metais;efeit toxic outr met
T56;efeito toxico metal , especificado;efeit toxic metal , especific
T57;efeito toxico arsenico compostos;efeit toxic arsen compost
T57;efeito toxico fosforo compostos;efeit toxic fosfor compost
T57;efeito toxico manganes compostos;efeit toxic manganes compost
T57;efeito toxico cianeto hidrogenio ( acido cianidrico );efeit toxic cianet hidrogeni ( acid cianidr )
T57;efeito toxico outras substancias inorganicas especificadas;efeit toxic outr substanc inorgan especific
T57;efeito toxico substancia inorganica especificada;efeit toxic substanc inorgan especific
T58;efeito toxico monoxido carbono;efeit toxic monox carbon
T59;efeito toxico oxidos nitrogenio;efeit toxic oxid nitrogeni
T59;efeito toxico dioxido enxofre;efeit toxic diox enxofr
T59;efeito toxico formaldeido;efeit toxic formaldeid
T59;efeito toxico gas lacrimogeneo;efeit toxic gas lacrimogen
T59;efeito toxico cloro gasoso;efeit toxic clor gasos
T59;efeito toxico fluoreto gasoso acido fluoridrico;efeit toxic fluoret gasos acid fluoridr
T59;efeito toxico acido sulfidrico;efeit toxic acid sulfidr
T59;efeito toxico dioxido carbono;efeit toxic diox carbon
T59;efeito toxico outros gases , fumacas vapores especificados;efeit toxic outr gas , fumac vapor especific
T59;efeito toxico gases , fumacas vapores especificados;efeit toxic gas , fumac vapor especific
T60;efeito toxico inseticidas organofosforados carbamatos;efeit toxic insetic organofosfor carbamat
T60;efeito toxico inseticidas halogenados;efeit toxic insetic halogen
T60;efeito toxico outros inseticidas;efeit toxic outr insetic
T60;efeito toxico herbicidas fungicidas;efeit toxic herbic fungic
T60;efeito toxico rodenticidas;efeit toxic rodentic
T60;efeito toxico outros pesticidas;efeit toxic outr pestic
T60;efeito toxico pesticida especificado;efeit toxic pestic especific
T61;intoxicacao peixe ciguatera;intoxic peix ciguat
T61;intoxicacao peixes escombrideos;intoxic peix escombrid
T61;outras intoxicacoes peixes mariscos;outr intoxic peix marisc
T61;efeito toxico outros frutos mar;efeit toxic outr frut mar
T61;efeito toxico frutos mar especificados;efeit toxic frut mar especific
T62;efeito toxico ingestao cogumelos;efeit toxic ingesta cogumel
T62;efeito toxico ingestao frutos;efeit toxic ingesta frut
T62;efeito toxico ingestao outras ( partes ) plantas;efeit toxic ingesta outr ( part ) plant
T62;efeito toxico outras substancias nocivas ingeridas alimento;efeit toxic outr substanc nociv inger aliment
T62;efeito toxico substancias nocivas ingeridas alimento , especificadas;efeit toxic substanc nociv inger aliment , especific
T63;efeito toxico veneno serpente;efeit toxic venen serpent
T63;efeito toxico veneno outros repteis;efeit toxic venen outr rept
T63;efeito toxico veneno escorpiao;efeit toxic venen escorpia
T63;efeito toxico veneno aranha;efeit toxic venen aranh
T63;efeito toxico veneno outros artropodes;efeit toxic venen outr artropod
T63;efeito toxico contato peixe;efeit toxic contat peix
T63;efeito toxico contato outros animais marinhos;efeit toxic contat outr anim marinh
T63;efeito toxico contato outros animais venenosos;efeit toxic contat outr anim venen
T63;efeito toxico contato animal venenoso especificado;efeit toxic contat animal venen especific
T64;efeito toxico aflatoxina outras micotoxinas contaminantes alimentos;efeit toxic aflatoxin outr micotoxin contamin aliment
T65;efeito toxico cianetos;efeit toxic cianet
T65;efeito toxico estricnina sais;efeit toxic estricnin sais
T65;efeito toxico tabaco nicotina;efeit toxic tabac nicotin
T65;efeito toxico nitroderivados aminoderivados benzeno homologos;efeit toxic nitroderiv aminoderiv benzen homolog
T65;efeito toxico dissulfeto carbono;efeit toxic dissulfet carbon
T65;efeito toxico nitroglicerina outros acidos esteres nitricos;efeit toxic nitroglicerin outr acid ester nitric
T65;efeito toxico tinturas corantes , classificadas outra parte;efeit toxic tintur corant , classific outr part
T65;efeito toxico outras substancias especificadas;efeit toxic outr substanc especific
T65;efeito toxico substancia especificada;efeit toxic substanc especific
T66;efeitos especificados radiacao;efeit especific radiaca
T67;golpe calor insolacao;golp calor insol
T67;sincope devida calor;sincop dev calor
T67;caibras devidas calor;caibr dev calor
T67;exaustao devida calor perda hidrica;exausta dev calor perd hidric
T67;exaustao devida calor perda sal;exausta dev calor perd sal
T67;exaustao devida calor , especificacao;exausta dev calor , especific
T67;fadiga transitoria devida calor;fadig transitor dev calor
T67;edema devido calor;edem dev calor
T67;outros efeitos calor luz;outr efeit calor luz
T67;efeito calor luz especificado;efeit calor luz especific
T68;hipotermia;hipoterm
T69;mao imersao;ma imersa
T69;congelamento [ chilblains ];congel [ chilblains ]
T69;outros efeitos especificados temperatura reduzida;outr efeit especific temperatur reduz
T69;efeito especificado temperatura reduzida;efeit especific temperatur reduz
T70;otite barotraumatica;otit barotraumat
T70;sinusite barotraumatica;sinusit barotraumat
T70;outros efeitos grandes altitude especificados;outr efeit grand altitud especific
T70;mal caixoes [ doenca descompressao ];mal caixo [ doenc descompressa ]
T70;efeito fluidos alta pressao;efeit flu alta pressa
T70;outros efeitos pressao atmosferica pressao agua;outr efeit pressa atmosfer pressa agu
T70;efeitos especificados pressao atmosferica pressao agua;efeit especific pressa atmosfer pressa agu
T71;asfixia;asfix
T73;efeitos fome;efeit fom
T73;efeitos sede;efeit sed
T73;exaustao devida intemperies;exausta dev intemperi
T73;exaustao devido esforco intenso;exausta dev esforc intens
T73;outros efeitos privacao;outr efeit privaca
T73;efeito especificado privacao;efeit especific privaca
T74;abandono;abandon
T74;sevicias fisicas;sevic fisic
T74;abuso sexual;abus sexual
T74;abuso psicologico;abus psicolog
T74;outras sindromes especificadas maus tratos;outr sindrom especific maus trat
T74;sindrome especificada maus tratos;sindrom especific maus trat
T75;efeitos raio;efeit rai
T75;afogamento submersao mortal;afog submersa mortal
T75;efeitos vibracao;efeit vibraca
T75;doenca causada movimento;doenc caus moviment
T75;efeitos corrente eletrica;efeit corrent eletr
T75;outros efeitos especificados causas externas;outr efeit especific caus extern
T78;choque anafilatico devido intolerancia alimentar;choqu anafilat dev intoler aliment
T78;outras reacoes intolerancia alimentar classificadas outra parte;outr reaco intoler aliment classific outr part
T78;choque anafilatico especificado;choqu anafilat especific
T78;edema angioneurotico;edem angioneurot
T78;alergia especificada;alerg especific
T78;outros efeitos adversos classificados outra parte;outr efeit advers classific outr part
T78;efeito adverso especificado;efeit advers especific
T79;embolia gasosa ( traumatica );embol gasos ( traumat )
T79;embolia gordurosa ( traumatica );embol gordur ( traumat )
T79;hemorragia traumatica secundaria recidivante;hemorrag traumat secundar recidiv
T79;infeccao pos - traumatica ferimento classificada outra parte;infecca pos - traumat feriment classific outr part
T79;choque traumatico;choqu traumat
T79;anuria traumatica;anur traumat
T79;isquemia muscular traumatica;isquem muscul traumat
T79;enfisema subcutaneo origem traumatica;enfisem subcutan orig traumat
T79;outras complicacoes precoces traumatismo;outr complic precoc traumat
T79;complicacao precoce especificada traumatismo;complic precoc especific traumat
T80;embolia aerea subsequentes infusao , transfusao injecao terapeutica;embol aer subsequent infusa , transfusa injeca terapeut
T80;complicacoes vasculares subsequentes infusao , transfusao injecao terapeutica;complic vascul subsequent infusa , transfusa injeca terapeut
T80;infeccoes subsequentes infusao , transfusao injecao terapeutica;infecco subsequent infusa , transfusa injeca terapeut
T80;reacao incompatibilidade abo;reaca incompatibil abo
T80;reacao incompatibilidade;reaca incompatibil
T80;choque anafilatico devido soro;choqu anafilat dev sor
T80;outras reacoes soro;outr reaco sor
T80;outras complicacoes subsequentes infusao , transfusao injecao terapeutica;outr complic subsequent infusa , transfusa injeca terapeut
T80;complicacao especificada subsequente infusao , transfusao injecao terapeutica;complic especific subsequent infusa , transfusa injeca terapeut
T81;hemorragia hematoma complicando procedimento classificado outra parte;hemorrag hematom complic proced classific outr part
T81;choque durante resultante procedimento classificado outra parte;choqu durant result proced classific outr part
T81;perfuracao laceracao acidentais durante procedimento classificado outra parte;perfur lacer acident durant proced classific outr part
T81;deiscencia ferida cirurgica classificada outra parte;deiscenc fer cirurg classific outr part
T81;infeccao subsequente procedimento classificada outra parte;infecca subsequent proced classific outr part
T81;corpo estranho deixado acidentalmente cavidade corporal ferida operatoria subsequente procedimento;corp estranh deix acidental cavidad corporal fer operator subsequent proced
T81;reacao aguda substancia estranha deixada acidentalmente durante procedimento;reaca agud substanc estranh deix acidental durant proced
T81;complicacoes vasculares subsequentes procedimento classificado outra parte;complic vascul subsequent proced classific outr part
T81;outras complicacoes procedimentos classificadas outra parte;outr complic proced classific outr part
T81;complicacao especificada procedimento;complic especific proced
T82;complicacao mecanica protese valvular cardiaca;complic mecan protes valvul cardiac
T82;complicacao mecanica dispositivo eletronico cardiaco;complic mecan disposit eletron cardiac
T82;complicacao mecanica enxerto ponte coronaria implantes valvas;complic mecan enxert pont coronar implant valv
T82;complicacoes mecanicas outros enxertos vasculares;complic mecan outr enxert vascul
T82;complicacao mecanica cateter vascular dialise;complic mecan catet vascul dialis
T82;complicacoes mecanicas outros dispositivos implantes cardiovasculares;complic mecan outr disposit implant cardiovascul
T82;infeccao reacao inflamatorias devidas protese valvular cardiaca;infecca reaca inflamator dev protes valvul cardiac
T82;infeccao reacao inflamatorias devidas outros dispositivos , implantes enxertos cardiacos vasculares;infecca reaca inflamator dev outr disposit , implant enxert cardiac vascul
T82;outras complicacoes dispositivos proteticos , implantes enxertos cardiacos vasculares;outr complic disposit protet , implant enxert cardiac vascul
T82;complicacoes especificada dispositivo protetico , implante enxerto cardiacos vasculares;complic especific disposit protet , implant enxert cardiac vascul
T83;complicacao mecanica cateter ( demora ) urinario;complic mecan catet ( demor ) urinari
T83;complicacao mecanica outros dispositivos implantes urinarios;complic mecan outr disposit implant urinari
T83;complicacao mecanica enxerto orgao urinario;complic mecan enxert orga urinari
T83;complicacao mecanica dispositivo intra - uterino ( anticoncepcional );complic mecan disposit intra - uterin ( anticoncepcional )
T83;complicacao mecanica outros dispositivos proteticos , implantes enxertos trato genital;complic mecan outr disposit protet , implant enxert trat genital
T83;infeccao reacao inflamatoria devidas dispositivo protetico , implante enxerto aparelho urinario;infecca reaca inflamator dev disposit protet , implant enxert aparelh urinari
T83;infeccao reacao inflamatoria devidas dispositivo protetico , implante enxerto trato genital;infecca reaca inflamator dev disposit protet , implant enxert trat genital
T83;outras complicacoes dispositivos proteticos , implantes enxertos geniturinarios;outr complic disposit protet , implant enxert geniturinari
T83;complicacao especificada protese , implante enxerto geniturinarios;complic especific protes , implant enxert geniturinari
T84;complicacao mecanica protese articular interna;complic mecan protes articul intern
T84;complicacao mecanica dispositivo fixacao interna ossos membros;complic mecan disposit fixaca intern ossos membr
T84;complicacao mecanica dispositivo fixacao interna outros ossos;complic mecan disposit fixaca intern outr ossos
T84;complicacao mecanica outros dispositivos , implantes enxertos osseos;complic mecan outr disposit , implant enxert osse
T84;complicacao mecanica outros dispositivos , implantes enxertos ortopedicos internos;complic mecan outr disposit , implant enxert ortoped intern
T84;infeccao reacao inflamatoria devidas protese articular interna;infecca reaca inflamator dev protes articul intern
T84;infeccao reacao inflamatoria devidas dispositivo fixacao interna [ qualquer local ];infecca reaca inflamator dev disposit fixaca intern [ qualqu local ]
T84;infeccao reacao inflamatoria devidas outros dispositivos proteticos , implantes enxertos ortopedicos internos;infecca reaca inflamator dev outr disposit protet , implant enxert ortoped intern
T84;outras complicacoes dispositivos proteticos , implantes enxertos ortopedicos internos;outr complic disposit protet , implant enxert ortoped intern
T84;complicacao especificada dispositivo protetico , implante enxerto ortopedicos internos;complic especific disposit protet , implant enxert ortoped intern
T85;complicacao mecanica shunt ventricular ( comunicacao ) intracraniano;complic mecan shunt ventricul ( comunic ) intracranian
T85;complicacao mecanica estimulador eletronico implantado sistema nervoso;complic mecan estimul eletron implant sistem nervos
T85;complicacao mecanica lente intraocular;complic mecan lent intraocul
T85;complicacoes mecanicas outros dispositivos proteticos , implantes enxertos oculares;complic mecan outr disposit protet , implant enxert ocul
T85;complicacao mecanica protese implante mamarios;complic mecan protes implant mamari
T85;complicacao mecanica dispositivos proteticos , implante enxerto gastrointestinais;complic mecan disposit protet , implant enxert gastrointestin
T85;complicacao mecanica outros dispositivos proteticos , implantes enxertos internos especificados;complic mecan outr disposit protet , implant enxert intern especific
T85;infeccao reacao inflamatoria devida outros dispositivos proteticos , implantes enxertos internos;infecca reaca inflamator dev outr disposit protet , implant enxert intern
T85;outras complicacoes dispositivos proteticos , implantes enxertos internos classificados outra parte;outr complic disposit protet , implant enxert intern classific outr part
